year,date,country,occasion,speaker,lix
1985,1985-01-01,Denmark,New Year,Prime Minister,38
1986,1986-01-01,Denmark,New Year,Prime Minister,38
1987,1987-01-01,Denmark,New Year,Prime Minister,31
1988,1988-01-01,Denmark,New Year,Prime Minister,37
1989,1989-01-01,Denmark,New Year,Prime Minister,33
1990,1990-01-01,Denmark,New Year,Prime Minister,37
1991,1991-01-01,Denmark,New Year,Prime Minister,36
1992,1992-01-01,Denmark,New Year,Prime Minister,35
1993,1993-01-01,Denmark,New Year,Prime Minister,38
1994,1994-01-01,Denmark,New Year,Prime Minister,32
1995,1995-01-01,Denmark,New Year,Prime Minister,32
1996,1996-01-01,Denmark,New Year,Prime Minister,34
1997,1997-01-01,Denmark,New Year,Prime Minister,31
1998,1998-01-01,Denmark,New Year,Prime Minister,34
1999,1999-01-01,Denmark,New Year,Prime Minister,32
2000,2000-01-01,Denmark,New Year,Prime Minister,32
2001,2001-01-01,Denmark,New Year,Prime Minister,32
2002,2002-01-01,Denmark,New Year,Prime Minister,36
2003,2003-01-01,Denmark,New Year,Prime Minister,35
2004,2004-01-01,Denmark,New Year,Prime Minister,33
2005,2005-01-01,Denmark,New Year,Prime Minister,32
2006,2006-01-01,Denmark,New Year,Prime Minister,34
2007,2007-01-01,Denmark,New Year,Prime Minister,37
2008,2008-01-01,Denmark,New Year,Prime Minister,34
2009,2009-01-01,Denmark,New Year,Prime Minister,31
2010,2010-01-01,Denmark,New Year,Prime Minister,34
2011,2011-01-01,Denmark,New Year,Prime Minister,30
2012,2012-01-01,Denmark,New Year,Prime Minister,28
2013,2013-01-01,Denmark,New Year,Prime Minister,26
2014,2014-01-01,Denmark,New Year,Prime Minister,26
2015,2015-01-01,Denmark,New Year,Prime Minister,24
2016,2016-01-01,Denmark,New Year,Prime Minister,29
2017,2017-01-01,Denmark,New Year,Prime Minister,26
2018,2018-01-01,Denmark,New Year,Prime Minister,29
2019,2019-01-01,Denmark,New Year,Prime Minister,27
2020,2020-01-01,Denmark,New Year,Prime Minister,26
2021,2021-01-01,Denmark,New Year,Prime Minister,28
1990,1990-01-01,Norway,New Year,Prime Minister,35
1991,1991-01-01,Norway,New Year,Prime Minister,35
1992,1992-01-01,Norway,New Year,Prime Minister,37
1993,1993-01-01,Norway,New Year,Prime Minister,36
1994,1994-01-01,Norway,New Year,Prime Minister,34
1995,1995-01-01,Norway,New Year,Prime Minister,34
1996,1996-01-01,Norway,New Year,Prime Minister,35
1997,1997-01-01,Norway,New Year,Prime Minister,38
1998,1998-01-01,Norway,New Year,Prime Minister,34
1999,1999-01-01,Norway,New Year,Prime Minister,36
2000,2000-01-01,Norway,New Year,Prime Minister,35
2001,2001-01-01,Norway,New Year,Prime Minister,31
2002,2002-01-01,Norway,New Year,Prime Minister,32
2003,2003-01-01,Norway,New Year,Prime Minister,36
2004,2004-01-01,Norway,New Year,Prime Minister,35
2005,2005-01-01,Norway,New Year,Prime Minister,35
2006,2006-01-01,Norway,New Year,Prime Minister,30
2007,2007-01-01,Norway,New Year,Prime Minister,31
2008,2008-01-01,Norway,New Year,Prime Minister,29
2009,2009-01-01,Norway,New Year,Prime Minister,29
2010,2010-01-01,Norway,New Year,Prime Minister,34
2011,2011-01-01,Norway,New Year,Prime Minister,32
2012,2012-01-01,Norway,New Year,Prime Minister,27
2013,2013-01-01,Norway,New Year,Prime Minister,29
2014,2014-01-01,Norway,New Year,Prime Minister,30
2015,2015-01-01,Norway,New Year,Prime Minister,31
2016,2016-01-01,Norway,New Year,Prime Minister,32
2017,2017-01-01,Norway,New Year,Prime Minister,32
2018,2018-01-01,Norway,New Year,Prime Minister,30
2019,2019-01-01,Norway,New Year,Prime Minister,30
2020,2020-01-01,Norway,New Year,Prime Minister,29
2021,2021-01-01,Norway,New Year,Prime Minister,27
1946,1946-12-31,Denmark,New Year,Monarch,37
1947,1947-12-31,Denmark,New Year,Monarch,44
1948,1948-12-31,Denmark,New Year,Monarch,37
1949,1949-12-31,Denmark,New Year,Monarch,35
1950,1950-12-31,Denmark,New Year,Monarch,33
1951,1951-12-31,Denmark,New Year,Monarch,46
1952,1952-12-31,Denmark,New Year,Monarch,40
1953,1953-12-31,Denmark,New Year,Monarch,36
1954,1954-12-31,Denmark,New Year,Monarch,44
1955,1955-12-31,Denmark,New Year,Monarch,47
1956,1956-12-31,Denmark,New Year,Monarch,46
1957,1957-12-31,Denmark,New Year,Monarch,50
1958,1958-12-31,Denmark,New Year,Monarch,53
1959,1959-12-31,Denmark,New Year,Monarch,43
1960,1960-12-31,Denmark,New Year,Monarch,42
1961,1961-12-31,Denmark,New Year,Monarch,42
1962,1962-12-31,Denmark,New Year,Monarch,44
1963,1963-12-31,Denmark,New Year,Monarch,47
1964,1964-12-31,Denmark,New Year,Monarch,48
1965,1965-12-31,Denmark,New Year,Monarch,40
1966,1966-12-31,Denmark,New Year,Monarch,44
1967,1967-12-31,Denmark,New Year,Monarch,41
1968,1968-12-31,Denmark,New Year,Monarch,43
1969,1969-12-31,Denmark,New Year,Monarch,51
1970,1970-12-31,Denmark,New Year,Monarch,52
1971,1971-12-31,Denmark,New Year,Monarch,42
1972,1972-12-31,Denmark,New Year,Monarch,48
1973,1973-12-31,Denmark,New Year,Monarch,42
1974,1974-12-31,Denmark,New Year,Monarch,45
1975,1975-12-31,Denmark,New Year,Monarch,42
1976,1976-12-31,Denmark,New Year,Monarch,41
1977,1977-12-31,Denmark,New Year,Monarch,39
1978,1978-12-31,Denmark,New Year,Monarch,38
1979,1979-12-31,Denmark,New Year,Monarch,37
1980,1980-12-31,Denmark,New Year,Monarch,41
1981,1981-12-31,Denmark,New Year,Monarch,37
1982,1982-12-31,Denmark,New Year,Monarch,35
1983,1983-12-31,Denmark,New Year,Monarch,36
1984,1984-12-31,Denmark,New Year,Monarch,37
1985,1985-12-31,Denmark,New Year,Monarch,35
1986,1986-12-31,Denmark,New Year,Monarch,31
1987,1987-12-31,Denmark,New Year,Monarch,27
1988,1988-12-31,Denmark,New Year,Monarch,31
1989,1989-12-31,Denmark,New Year,Monarch,32
1990,1990-12-31,Denmark,New Year,Monarch,36
1991,1991-12-31,Denmark,New Year,Monarch,33
1992,1992-12-31,Denmark,New Year,Monarch,38
1993,1993-12-31,Denmark,New Year,Monarch,29
1994,1994-12-31,Denmark,New Year,Monarch,33
1995,1995-12-31,Denmark,New Year,Monarch,36
1996,1996-12-31,Denmark,New Year,Monarch,32
1997,1997-12-31,Denmark,New Year,Monarch,38
1998,1998-12-31,Denmark,New Year,Monarch,29
1999,1999-12-31,Denmark,New Year,Monarch,31
2000,2000-12-31,Denmark,New Year,Monarch,31
2001,2001-12-31,Denmark,New Year,Monarch,34
2002,2002-12-31,Denmark,New Year,Monarch,34
2003,2003-12-31,Denmark,New Year,Monarch,32
2004,2004-12-31,Denmark,New Year,Monarch,35
2005,2005-12-31,Denmark,New Year,Monarch,35
2006,2006-12-31,Denmark,New Year,Monarch,36
2007,2007-12-31,Denmark,New Year,Monarch,35
2008,2008-12-31,Denmark,New Year,Monarch,37
2009,2009-12-31,Denmark,New Year,Monarch,35
2010,2010-12-31,Denmark,New Year,Monarch,36
2011,2011-12-31,Denmark,New Year,Monarch,35
2012,2012-12-31,Denmark,New Year,Monarch,35
2013,2013-12-31,Denmark,New Year,Monarch,33
2014,2014-12-31,Denmark,New Year,Monarch,30
2015,2015-12-31,Denmark,New Year,Monarch,31
2016,2016-12-31,Denmark,New Year,Monarch,32
2017,2017-12-31,Denmark,New Year,Monarch,33
2018,2018-12-31,Denmark,New Year,Monarch,30
2019,2019-12-31,Denmark,New Year,Monarch,29
2020,2020-12-31,Denmark,New Year,Monarch,34
1954,1954-12-31,Norway,New Year,Monarch,48
1955,1955-12-31,Norway,New Year,Monarch,41
1956,1956-12-31,Norway,New Year,Monarch,46
1957,1957-12-31,Norway,New Year,Monarch,56
1958,1958-12-31,Norway,New Year,Monarch,54
1959,1959-12-31,Norway,New Year,Monarch,47
1960,1960-12-31,Norway,New Year,Monarch,53
1961,1961-12-31,Norway,New Year,Monarch,54
1962,1962-12-31,Norway,New Year,Monarch,48
1963,1963-12-31,Norway,New Year,Monarch,44
1964,1964-12-31,Norway,New Year,Monarch,48
1965,1965-12-31,Norway,New Year,Monarch,48
1966,1966-12-31,Norway,New Year,Monarch,53
1967,1967-12-31,Norway,New Year,Monarch,50
1968,1968-12-31,Norway,New Year,Monarch,43
1969,1969-12-31,Norway,New Year,Monarch,49
1970,1970-12-31,Norway,New Year,Monarch,43
1971,1971-12-31,Norway,New Year,Monarch,46
1972,1972-12-31,Norway,New Year,Monarch,52
1973,1973-12-31,Norway,New Year,Monarch,50
1974,1974-12-31,Norway,New Year,Monarch,48
1975,1975-12-31,Norway,New Year,Monarch,46
1976,1976-12-31,Norway,New Year,Monarch,47
1977,1977-12-31,Norway,New Year,Monarch,46
1978,1978-12-31,Norway,New Year,Monarch,48
1979,1979-12-31,Norway,New Year,Monarch,47
1980,1980-12-31,Norway,New Year,Monarch,39
1981,1981-12-31,Norway,New Year,Monarch,49
1982,1982-12-31,Norway,New Year,Monarch,40
1983,1983-12-31,Norway,New Year,Monarch,42
1984,1984-12-31,Norway,New Year,Monarch,43
1985,1985-12-31,Norway,New Year,Monarch,43
1986,1986-12-31,Norway,New Year,Monarch,43
1987,1987-12-31,Norway,New Year,Monarch,40
1988,1988-12-31,Norway,New Year,Monarch,40
1989,1989-12-31,Norway,New Year,Monarch,41
1990,1990-12-31,Norway,New Year,Monarch,41
1991,1991-12-31,Norway,New Year,Monarch,37
1992,1992-12-31,Norway,New Year,Monarch,43
1993,1993-12-31,Norway,New Year,Monarch,42
1994,1994-12-31,Norway,New Year,Monarch,36
1995,1995-12-31,Norway,New Year,Monarch,39
1996,1996-12-31,Norway,New Year,Monarch,38
1997,1997-12-31,Norway,New Year,Monarch,35
1998,1998-12-31,Norway,New Year,Monarch,35
1999,1999-12-31,Norway,New Year,Monarch,38
2000,2000-12-31,Norway,New Year,Monarch,38
2001,2001-12-31,Norway,New Year,Monarch,35
2002,2002-12-31,Norway,New Year,Monarch,34
2003,2003-12-31,Norway,New Year,Monarch,32
2004,2004-12-31,Norway,New Year,Monarch,32
2005,2005-12-31,Norway,New Year,Monarch,35
2006,2006-12-31,Norway,New Year,Monarch,36
2007,2007-12-31,Norway,New Year,Monarch,35
2008,2008-12-31,Norway,New Year,Monarch,33
2009,2009-12-31,Norway,New Year,Monarch,31
2010,2010-12-31,Norway,New Year,Monarch,34
2011,2011-12-31,Norway,New Year,Monarch,33
2012,2012-12-31,Norway,New Year,Monarch,32
2013,2013-12-31,Norway,New Year,Monarch,34
2014,2014-12-31,Norway,New Year,Monarch,32
2015,2015-12-31,Norway,New Year,Monarch,32
2016,2016-12-31,Norway,New Year,Monarch,34
2017,2017-12-31,Norway,New Year,Monarch,33
2018,2018-12-31,Norway,New Year,Monarch,29
2019,2019-12-31,Norway,New Year,Monarch,28
2020,2020-12-31,Norway,New Year,Monarch,27
1946,1946-10-01,Denmark,Opening of Parliament,Prime Minister,62
1947,1947-10-07,Denmark,Opening of Parliament,Prime Minister,63
1948,1948-10-05,Denmark,Opening of Parliament,Prime Minister,59
1949,1949-10-04,Denmark,Opening of Parliament,Prime Minister,59
1950,1950-10-03,Denmark,Opening of Parliament,Prime Minister,61
1951,1951-10-02,Denmark,Opening of Parliament,Prime Minister,60
1952,1952-10-07,Denmark,Opening of Parliament,Prime Minister,57
